title,start_date,aud_sentiment,aud_score,crit_sentiment,crit_score
The Woman King,"Streaming Dec 13, 2022",positive,99,positive,94
Emily the Criminal,"Streaming Oct 28, 2022",positive,79,positive,94
Leave No Trace,"Streaming Sep 25, 2018",positive,80,positive,100
The Stranger,"Streaming Oct 19, 2022",positive,67,positive,91
Glass Onion: A Knives Out Mystery,"Streaming Dec 23, 2022",positive,92,positive,92
Rocky,"Streaming Oct 31, 2015",positive,69,positive,92
The Gentlemen,"Streaming Mar 24, 2020",positive,84,positive,75
The Hunger Games,"Streaming Sep 9, 2016",positive,81,positive,84
His House,"Streaming Oct 30, 2020",positive,74,positive,100
Prisoners,"Streaming May 10, 2015",positive,87,positive,81
The Wonder,"Streaming Nov 16, 2022",positive,72,positive,86
The Hunger Games: Catching Fire,"Streaming Aug 26, 2016",positive,89,positive,90
The Dark Knight,"Streaming Jun 14, 2010",positive,94,positive,94
The Power of the Dog,"Streaming Dec 1, 2021",positive,76,positive,94
Hustle,"Streaming Jun 8, 2022",positive,93,positive,93
It Follows,"Streaming Nov 30, 2016",positive,66,positive,95
La La Land,"Streaming Apr 11, 2017",positive,81,positive,91
The Hangover,"Streaming Jan 7, 2014",positive,84,positive,79
The Sea Beast,"Streaming Jul 8, 2022",positive,84,positive,94
The Harder They Fall,"Streaming Nov 3, 2021",positive,93,positive,88
Rango,"Streaming Jun 6, 2014",positive,70,positive,88
The Bad Guys,"Streaming Jul 1, 2022",positive,93,positive,88
Under the Shadow,"Streaming Jan 17, 2017",positive,73,positive,99
The Lost Daughter,"Streaming Dec 31, 2021",negative,52,positive,94
The Good Nurse,"Streaming Oct 26, 2022",positive,76,positive,75
Galaxy Quest,"Streaming Aug 1, 2013",positive,79,positive,90
The Nice Guys,"Streaming Aug 9, 2016",positive,79,positive,91
Call Me by Your Name,"Streaming Feb 23, 2018",positive,86,positive,94
The Swimmers,"Streaming Nov 23, 2022",positive,85,positive,82
Outside In,"Streaming Apr 3, 2018",positive,77,positive,96
El Camino: A Breaking Bad Movie,"Streaming Oct 11, 2019",positive,81,positive,92
Synchronic,"Streaming Nov 21, 2020",positive,76,positive,79
Chris Rock: Tamborine,"Streaming Feb 14, 2018",negative,40,positive,100
Easy A,"Streaming Apr 16, 2012",positive,77,positive,85
Operation Mincemeat,"Streaming May 11, 2022",positive,66,positive,83
The Irishman,"Streaming Nov 27, 2019",positive,86,positive,95
Hunt for the Wilderpeople,"Streaming Sep 20, 2016",positive,91,positive,97
The Lord of the Rings: The Fellowship of the Ring,"Streaming Jun 28, 2011",positive,95,positive,91
Descendant,"Streaming Oct 21, 2022",positive,61,positive,100
Worth,"Streaming Sep 3, 2021",positive,76,positive,82
The Lord of the Rings: The Return of the King,"Streaming Apr 6, 2010",positive,86,positive,93
Marriage Story,"Streaming Dec 6, 2019",positive,85,positive,95
Pieces of a Woman,"Streaming Jan 7, 2021",positive,84,positive,75
It,"Streaming Dec 19, 2017",positive,84,positive,86
Gerald's Game,"Streaming Sep 29, 2017",positive,70,positive,91
Lady Chatterley's Lover,"Streaming Dec 2, 2022",positive,75,positive,85
1922,"Streaming Oct 20, 2017",negative,57,positive,92
Minority Report,"Streaming Aug 1, 2013",positive,80,positive,90
I Care a Lot,"Streaming Feb 19, 2021",negative,34,positive,78
Arctic,"Streaming Apr 23, 2019",positive,78,positive,90
Side Effects,"Streaming Dec 9, 2015",positive,70,positive,81
The Ballad of Buster Scruggs,"Streaming Nov 16, 2018",positive,78,positive,89
Reservoir Dogs,"Streaming Dec 19, 2015",positive,94,positive,90
Begin Again,"Streaming Oct 17, 2014",positive,81,positive,83
The Founder,"Streaming Apr 4, 2017",positive,82,positive,81
Enola Holmes 2,"Streaming Nov 4, 2022",positive,78,positive,94
I Don't Feel at Home in This World Anymore,"Streaming May 23, 2017",positive,77,positive,89
Nocturnal Animals,"Streaming Feb 7, 2017",positive,73,positive,74
I'm Thinking of Ending Things,"Streaming Sep 4, 2020",negative,50,positive,82
Enola Holmes,"Streaming Sep 24, 2020",positive,71,positive,91
